"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2024",2172.615,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2024",3765.875,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2024",2449.806,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2024",2416.414,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2024",2101.66,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2024",2007.814,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2024",1906.33,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2024",2140.966,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2024",2734.438,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2024",1752.158,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2024",,"U",,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2023",3095.953,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2023",4356.824,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2023",2661.289,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2023",2059.806,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2023",9789.373,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2023",3397.384,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2023",4616.184,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2023",2947.808,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2023",2702.125,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2023",10575.256,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2023",2586.671,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2023",4016.42,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2023",2096.732,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2023",1079.484,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2023",,"U",,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2023",3095.953,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2023",5274.689,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2023",4327.847,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2023",3751.746,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2023",5052.398,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2023",1800.551,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2023",3110.048,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2023",2973.003,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2023",2873.801,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2023",2059.806,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2023",9789.373,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2023",3397.384,,,"T30:20","R1:3513"
